beach,yyyy,mm,dd,transect_id,position_start,position_end,event,material,structure,cm_from_tape,size_cm,quantity,comments
south,2021,6,19,9,20,24,T,,,,,,
south,2021,6,19,9,25,,T,,,,,,
south,2021,6,19,9,30,,T,,,,,,
south,2021,6,19,9,33,,T,,,,,,
south,2021,6,19,9,38,,T,,,,,,
south,2021,6,19,9,45.8,,D,FI,F,80,45,1,
south,2021,6,19,9,48,56,WP,,,,,,
south,2021,6,19,9,55.5,,D,FI,F,35,6,1,
south,2021,6,19,10,0,,WL,,,,,,
south,2021,6,19,10,8,,WO,,,,,,
south,2021,6,19,10,12,,WO,,,,,,
south,2021,6,19,10,16,,L,,,,,,
south,2021,6,19,10,25,34,WP,,,,,,
south,2021,6,19,10,33.1,,D,HP,F,140,20,1,
south,2021,6,19,10,42,59.5,WP,,,,,,
south,2021,6,19,10,43.6,,D,FI,F,10,17,1,
south,2021,6,19,10,44.44,,D,HP,BO,148,15,1,
south,2021,6,19,11,0,7,WL,,,,,,
south,2021,6,19,11,1.1,,D,FP,BA,120,29,1,
south,2021,6,19,11,11,,WO,,,,,,
south,2021,6,19,11,17,,WO,,,,,,
south,2021,6,19,11,20.2,,D,GLASS,BO,30,8,1,
south,2021,6,19,11,33,,WP,,,,,,
south,2021,6,19,11,42,,WP,,,,,,
south,2021,6,19,11,48,,WP,,,,,,
south,2021,6,19,11,53.5,,WP,,,,,,
south,2021,6,21,12,0,,WL,,,,,,
south,2021,6,21,12,11.8,,D,FP,BA,20,31,1,
south,2021,6,21,12,20,,WO,,,,,,
south,2021,6,21,12,46,,WP,,,,,,
south,2021,6,21,12,48,,WP,,,,,,
south,2021,6,21,12,50,,WP,,,,,,
south,2021,6,21,12,56,64,WP,,,,,,
south,2021,6,21,13,0,,WL,,,,,,
south,2021,6,21,13,28.5,,WO,,,,,,
south,2021,6,21,13,36,,WO,,,,,,
south,2021,6,21,13,45,47,S,,,,,,
south,2021,6,21,13,52,57,WP,,,,,,
south,2021,6,21,13,58,68.5,WP,,,,,,
south,2021,6,21,13,57.8,,D,HP,BO,37,11,1,
south,2021,6,21,14,0,,WL,,,,,,
south,2021,6,21,14,8,,L,,,,,,
south,2021,6,21,14,16.5,18,T,,,,,,
south,2021,6,21,14,21,25,WO,,,,,,
south,2021,6,21,14,22.7,,D,FP,0,6,19,1,GLOVE
south,2021,6,21,14,43,,WP,,,,,,
south,2021,6,21,14,46,,71,WP,,,,,
south,2021,6,21,14,51.5,,D,HP,CU,115,13,1,
south,2021,6,21,14,54,,D,FP,BA,20,8,1,
south,2021,6,21,14,69.8,,D,FP,F,15,7,1,
south,2021,6,21,15,0,14,WL,,,,,,
south,2021,6,21,15,22,,L,,,,,,
south,2021,6,21,15,26,27,L,,,,,,
south,2021,6,21,15,33,56,WP,,,,,,
south,2021,6,21,15,35.3,,D,FP,F,120,20,1,
south,2021,6,21,15,43.7,,D,FP,F,61,6,1,
south,2021,6,21,16,0,,WL,,,,,,
south,2021,6,21,16,16,,L,,,,,,
south,2021,6,21,16,29,,T,,,,,,
south,2021,6,21,16,30,,T,,,,,,
south,2021,6,21,16,31,,T,,,,,,
south,2021,6,21,16,39,56.5,WP,,,,,,
south,2021,6,21,16,39.5,,D,HP,CU,87,15,1,
south,2021,6,21,16,51,,D,WOOD,F,95,80,1,
south,2021,6,21,16,50.5,,D,F,F,40,10,1,
south,2021,6,21,17,0,,WL,,,,,,
south,2021,6,21,17,19,,WO,,,,,,
south,2021,6,21,17,25,35,WP,,,,,,
south,2021,6,21,17,48,56,WP,,,,,,
south,2021,6,21,18,0,,WL,,,,,,
south,2021,6,21,18,13.5,,WP,,,,,,
south,2021,6,21,18,18,24,WO,,,,,,
south,2021,6,21,18,22.1,,D,HP,CU,87,6,1,TOBACCO CAN
south,2021,6,21,18,34,40,WP,,,,,,
south,2021,6,21,18,50.2,,D,HP,BO,76,15,1,GATORADE
south,2021,6,21,18,54.4,,D,HP,BP,125,15,1,GATORADE
south,2021,6,21,19,0,2,WL,,,,,,
south,2021,6,21,19,1.2,,D,HP,BO,16,22,1,
south,2021,6,21,19,30,34,WO,,,,,,
south,2021,6,21,19,40,,L,,,,,,
south,2021,6,21,20,0,,WL,,,,,,
south,2021,6,21,20,24,,WO,,,,,,
south,2021,6,21,20,30,33,WP,,,,,,
south,2021,6,21,20,31.3,,D,FP,F,45,9,1,
south,2021,6,21,20,31.4,,D,HP,BO,48,17,1,
south,2021,6,21,20,36,59.6,WF,,,,,,
south,2021,6,21,20,51,,O,,,,,,HORSESHOE CRAB
